Occupation,BH,BH_SWE,MOE,B,B_SWE,B_MOE,M,M_SWE,M_MOE,P,P_SWE,P_MOE,D,D_SWE,D_MOE
"Computer occupations, all other","15,333","$3,215,000 ","$272,000 ","9,333",(B),(B),"5,466",(B),(B),176,(B),(B),358,(B),(B)
"Materials engineers","13,973","$3,363,000 ","$165,000 ","8,810",(B),(B),"4,297",(B),(B),113,(B),(B),753,(B),(B)
"Petroleum engineers","13,716","$5,428,000 ","$439,000 ","9,400",(B),(B),"3,824",(B),(B),101,(B),(B),391,(B),(B)
"Elementary and middle school teachers","13,481","$2,004,000 ","$122,000 ","6,420",(B),(B),"6,367",(B),(B),513,(B),(B),181,(B),(B)
"Engineering technicians, except drafters","13,281","$2,797,000 ","$179,000 ","10,682","$2,666,000 ","$268,000 ","1,951",(B),(B),188,(B),(B),460,(B),(B)
"Inspectors, testers, sorters, samplers, and weighers","12,993","$2,415,000 ","$242,000 ","10,671","$2,329,000 ","$236,000 ","1,822",(B),(B),147,(B),(B),353,(B),(B)
"Sales representatives, services, all other","12,411","$3,418,000 ","$528,000 ","7,339",(B),(B),"4,719",(B),(B),159,(B),(B),194,(B),(B)
"Aircraft pilots and flight engineers","12,373","$4,305,000 ","$433,000 ","8,596",(B),(B),"3,428",(B),(B),207,(B),(B),142,(B),(B)
"Computer network architects","12,272","$3,924,000 ","$342,000 ","7,863",(B),(B),"4,023",(B),(B),-,(B),(B),386,(B),(B)
"Market research analysts and marketing specialists","11,683","$4,423,000 ","$405,000 ","4,450",(B),(B),"6,018",(B),(B),231,(B),(B),984,(B),(B)
Electricians,"11,324","$1,965,000 ","$194,000 ","9,604",(B),(B),"1,628",(B),(B),92,(B),(B),-,(B),(B)
Drafters,"11,250","$2,405,000 ","$322,000 ","9,084",(B),(B),"1,744",(B),(B),-,(B),(B),422,(B),(B)
"Customer service representatives","11,249",(B),(B),"8,159",(B),(B),"2,799",(B),(B),-,(B),(B),291,(B),(B)
"Network and computer systems administrators","10,601","$3,163,000 ","$353,000 ","7,504",(B),(B),"2,833",(B),(B),30,(B),(B),234,(B),(B)
"Sales engineers","10,565","$3,640,000 ","$273,000 ","7,250",(B),(B),"3,128",(B),(B),118,(B),(B),69,(B),(B)
