UNITID,CIPCODE
0,0
100654,1
100654,1.0901
100654,1.1001
100654,1.1001
100654,1.1001
100654,1.9999
100654,1.9999
100654,1.9999
100654,3.0599
100654,4.0301
100654,4.0301
100654,10.0202
100654,11.0101
100654,11.0101
100654,13.0101
100654,13.0401
100654,13.1001
100654,13.1001
100654,13.1012
100654,13.1202
100654,13.1202
100654,13.1205
100654,13.1205
100654,13.121
100654,13.1314
100654,13.1314
100654,14.0801
100654,14.1001
100654,14.1901
100654,14.9999
100654,15.0399
100654,15.0612
100654,15.0899
100654,15.1001
100654,19.0101
100654,19.0101
100654,23.0101
100654,24.0102
100654,26.0101
100654,26.0101
100654,27.0101
100654,40.0501
100654,40.0801
100654,40.0801
100654,40.0899
100654,42.0101
100654,42.2801
100654,42.2803
100654,43.0103
100654,44.0701
100654,44.0701
100654,45.1001
100654,45.1101
100654,50.0701
100654,50.0901
100654,51.0203
100654,52.0201
100654,52.0201
100654,52.0203
100654,52.0301
100654,52.0801
100654,52.1401
100663,5.0201
100663,5.0201
100663,9.0101
100663,9.0101
100663,9.0101
100663,11.0101
100663,11.0101
100663,11.0101
100663,11.1003
100663,13.0101
100663,13.0401
100663,13.0401
100663,13.0401
100663,13.0401
100663,13.1001
100663,13.1101
100663,13.1202
100663,13.1202
100663,13.1202
100663,13.1205
100663,13.1205
100663,13.121
100663,13.121
100663,13.121
100663,13.121
100663,13.1302
100663,13.1307
100663,13.1307
100663,13.1307
100663,13.1314
100663,13.1314
100663,13.1315
100663,13.1401
100663,14.0101
100663,14.0501
100663,14.0501
100663,14.0501
100663,14.0801
100663,14.0801
100663,14.0801
100663,14.0901
100663,14.1001
100663,14.1001
100663,14.1801
100663,14.1801
100663,14.1801
100663,14.1901
100663,14.1901
100663,14.9999
100663,16.0101
100663,16.0101
100663,23.0101
100663,23.0101
100663,23.0101
100663,24.0199
100663,24.0199
100663,26.0101
100663,26.0101
100663,26.0101
100663,26.0101
100663,26.0102
100663,26.0102
100663,26.0205
100663,26.0401
100663,26.0502
100663,26.0806
100663,26.0902
100663,26.0909
100663,26.0909
100663,26.091
100663,26.1007
100663,26.1102
100663,26.1102
100663,26.1201
100663,26.1309
100663,26.1501
100663,26.1501
100663,26.1503
100663,27.0101
100663,27.0101
100663,27.0101
100663,27.0301
100663,30.0601
100663,30.1901
100663,30.1901
100663,31.0599
100663,38.0101
100663,38.0101
100663,40.0501
100663,40.0501
100663,40.0501
100663,40.0801
100663,40.0801
100663,40.0801
100663,40.1001
100663,42.0101
100663,42.0101
100663,42.0101
100663,42.0101
100663,43.0106
100663,43.0199
100663,43.0199
100663,43.0199
100663,44.0401
100663,44.0701
100663,45.0201
100663,45.0201
100663,45.0201
100663,45.1001
100663,45.1001
100663,45.1101
100663,45.1101
100663,45.1101
100663,45.1101
100663,45.9999
100663,50.0501
100663,50.0509
100663,50.0701
100663,50.0703
100663,50.0901
100663,51.0001
100663,51.0001
100663,51.0401
100663,51.0501
100663,51.0601
100663,51.0701
100663,51.0701
100663,51.0701
100663,51.0701
100663,51.0706
100663,51.0799
100663,51.0905
100663,51.0905
100663,51.0908
100663,51.0908
100663,51.0912
100663,51.1005
100663,51.1005
100663,51.1201
100663,51.1509
100663,51.1701
100663,51.2201
100663,51.2201
100663,51.2201
100663,51.2202
100663,51.2306
100663,51.2308
100663,51.2399
100663,51.3101
100663,51.3102
100663,51.3801
100663,51.3801
100663,51.3804
100663,51.3808
100663,51.3818
100663,51.9999
100663,52.0201
100663,52.0201
100663,52.0299
100663,52.0301
100663,52.0301
100663,52.0601
100663,52.0801
100663,52.0801
100663,52.1201
100663,52.1201
100663,52.1201
100663,52.1401
100663,52.1401
100663,54.0101
100663,54.0101
100663,54.0101
100690,19.0701
100690,19.0707
100690,24.0101
100690,24.0101
100690,39.0201
100690,39.0201
100690,39.0201
100690,39.0601
100690,39.0602
100690,39.0699
100690,39.0701
100690,43.0103
100690,43.0112
100690,43.0301
100690,51.1505
100690,51.1505
100690,52.0201
100690,52.0213
100690,52.0501
100690,52.1001
100690,52.1201
100690,52.1206
100706,9.0101
100706,11.0101
100706,11.0101
100706,11.0101
100706,11.0804
100706,11.0804
100706,11.0804
100706,11.1003
100706,13.1202
100706,13.1205
100706,13.1206
100706,13.1401
100706,14.0101
100706,14.0201
100706,14.0201
100706,14.0201
100706,14.0701
100706,14.0801
100706,14.0801
100706,14.0901
100706,14.0901
100706,14.0901
100706,14.0901
100706,14.1001
100706,14.1001
100706,14.1901
100706,14.1901
100706,14.3501
100706,14.3501
100706,14.9999
100706,14.9999
100706,14.9999
100706,16.0101
100706,16.0101
100706,23.0101
100706,23.0101
100706,23.0101
100706,23.1303
100706,26.0101
100706,26.0101
100706,26.1201
100706,27.0101
100706,27.0101
100706,27.0101
100706,27.0301
100706,30.0101
100706,30.1501
100706,30.9999
100706,30.9999
100706,30.9999
100706,31.0505
100706,38.0101
100706,40.0401
100706,40.0401
100706,40.0501
100706,40.0501
100706,40.0501
100706,40.0801
100706,40.0801
100706,40.0801
100706,40.0801
100706,40.1001
100706,40.9999
100706,40.9999
100706,40.9999
100706,42.0101
100706,42.0101
100706,42.0101
100706,44.0401
100706,45.1001
100706,45.1001
100706,45.1101
100706,45.1101
100706,50.0501
100706,50.0701
100706,50.0901
100706,50.0901
100706,51.3801
100706,51.3801
100706,51.3805
100706,51.3817
100706,51.3818
100706,52.0201
100706,52.0201
100706,52.0201
100706,52.0201
100706,52.0202
100706,52.0202
100706,52.0203
100706,52.0203
100706,52.0301
100706,52.0301
100706,52.0301
100706,52.0601
100706,52.0801
100706,52.0801
100706,52.1001
100706,52.1201
100706,52.1201
100706,52.1201
100706,52.1206
100706,52.1301
100706,52.1401
100706,54.0101
100706,54.0101
100706,54.0101
100724,9.0101
100724,11.0401
100724,11.0701
100724,11.1099
100724,13.0101
100724,13.0401
100724,13.0401
100724,13.0401
100724,13.0501
100724,13.1001
100724,13.1001
100724,13.1101
100724,13.1101
100724,13.1202
100724,13.1205
100724,13.1205
100724,13.1206
100724,13.121
100724,13.121
100724,13.1312
100724,13.1314
100724,23.0101
100724,26.0101
100724,26.0101
100724,26.0502
100724,27.0101
100724,27.0101
100724,31.0301
100724,40.0501
100724,40.051
100724,42.0101
100724,43.0104
100724,43.0106
100724,44.0701
100724,44.9999
100724,45.1001
100724,45.1101
100724,50.0501
100724,50.0701
100724,50.0901
100724,51.0706
100724,51.2306
100724,51.2307
100724,51.2308
100724,51.231
100724,51.231
100724,51.2399
100724,52.0201
100724,52.0301
100724,52.0301
100724,52.0801
100724,52.1401
100724,54.0101
100724,54.0101
100751,3.0104
100751,5.0102
100751,5.0102
100751,5.0102
100751,5.0107
100751,5.0107
100751,5.0201
100751,5.0201
100751,5.0207
100751,9.0101
100751,9.0101
100751,9.0101
100751,9.0102
100751,9.0401
100751,9.0401
100751,9.0401
100751,9.0701
100751,9.0701
100751,9.0701
100751,9.0902
100751,9.0902
100751,9.0903
100751,9.0903
100751,9.0903
100751,11.0101
100751,11.0101
100751,11.0101
100751,11.0101
100751,13.0401
100751,13.0401
100751,13.0401
100751,13.0404
100751,13.0406
100751,13.0406
100751,13.0408
100751,13.0409
100751,13.0603
100751,13.1001
100751,13.1001
100751,13.1001
100751,13.1001
100751,13.1101
100751,13.1101
100751,13.1101
100751,13.1202
100751,13.1202
100751,13.1202
100751,13.1202
100751,13.1205
100751,13.1205
100751,13.1205
100751,13.1205
100751,13.121
100751,13.121
100751,13.1312
100751,13.1314
100751,13.1314
100751,13.1314
100751,13.1401
100751,14.0201
100751,14.0201
100751,14.0201
100751,14.0401
100751,14.0701
100751,14.0701
100751,14.0701
100751,14.0801
100751,14.0801
100751,14.0801
100751,14.0801
100751,14.1001
100751,14.1001
100751,14.1001
100751,14.1101
100751,14.1401
100751,14.1401
100751,14.1801
100751,14.1901
100751,14.1901
100751,14.1901
100751,14.1901
100751,14.2001
100751,14.2001
100751,14.3301
100751,14.3301
100751,16.0101
100751,16.0101
100751,16.0501
100751,16.09
100751,16.09
100751,16.0905
100751,16.0905
100751,19.0101
100751,19.0101
100751,19.0401
100751,19.0401
100751,19.0701
100751,19.0701
100751,19.0799
100751,19.0799
100751,19.0901
100751,22.0101
100751,22.0203
100751,22.0299
100751,23.0101
100751,23.0101
100751,23.0101
100751,23.0101
100751,23.1302
100751,25.0101
100751,26.0101
100751,26.0101
100751,26.0101
100751,26.0101
100751,26.0502
100751,26.1302
100751,26.1302
100751,27.0101
100751,27.0101
100751,27.0101
100751,27.0101
100751,27.0301
100751,27.0502
100751,27.0502
100751,30
100751,30
100751,30
100751,31.0505
100751,31.0599
100751,38.0101
100751,38.0101
100751,38.0201
100751,38.0201
100751,40.0501
100751,40.0501
100751,40.0501
100751,40.0501
100751,40.0601
100751,40.0601
100751,40.0601
100751,40.0601
100751,40.0801
100751,40.0801
100751,40.0801
100751,40.0801
100751,40.1001
100751,42.0101
100751,42.0101
100751,42.0101
100751,42.0101
100751,42.2805
100751,42.2806
